ID,sfreq,length
A07449,300,9000
A00565,300,9000
A07764,300,9000
A03290,300,18000
A07131,300,9000
A04396,300,3176
A07469,300,4050
A02252,300,5844
A03255,300,9000
A02791,300,18000
A05449,300,9000
A02589,300,9000
A00761,300,9000
A04273,300,9000
A01482,300,9000
A04690,300,9000
A00384,300,9000
A00873,300,9000
A05325,300,4920
A05206,300,9000
A06280,300,16856
A08504,300,9000
A03969,300,9000
A06745,300,9000
A08442,300,9000
A08281,300,9000
A07647,300,9000
A05692,300,9934
A08518,300,9000
A04766,300,9000
A07738,300,9000
A01135,300,9000
A07340,300,18000
A04451,300,9000
A06584,300,18000
A06643,300,9000
A06337,300,9818
A07893,300,7780
A06372,300,9000
A00743,300,9000
A08350,300,9000
A01503,300,9000
A03967,300,9000
A06038,300,13388
A06339,300,10176
A04441,300,9000
A03536,300,9000
A08307,300,9000
A01082,300,9000
A00781,300,4028
A04767,300,9000
A05181,300,9000
A03473,300,9000
A04329,300,5416
A02012,300,9000
A02552,300,18000
A01377,300,9000
A00674,300,9000
A02353,300,18000
A02259,300,9000
A02637,300,9000
A06743,300,9000
A07435,300,9000
A06809,300,18088
A07783,300,9000
A01989,300,9000
A05639,300,9000
A06740,300,9000
A01480,300,10556
A04504,300,9000
A03767,300,9000
A06607,300,9000
A04359,300,9000
A03906,300,18000
A01339,300,9000
A01334,300,18000
A07932,300,18000
A00884,300,3682
A05154,300,18000
A03469,300,3804
A03232,300,9000
A08180,300,9000
A02175,300,9000
A02657,300,9000
A04807,300,18000
A01502,300,5344
A03697,300,17876
A08265,300,9000
A05833,300,10120
A07762,300,9000
A02127,300,9000
A05813,300,9000
A05095,300,9000
A06064,300,9000
A01979,300,9000
A05880,300,17996
A06235,300,10316
A05400,300,9000
A04101,300,9000
A01343,300,9000
A02545,300,9000
A01590,300,9000
A03966,300,9000
A06110,300,9812
A06850,300,18000
A01178,300,9000
A05232,300,9000
A07958,300,9000
A03125,300,9000
A04627,300,9000
A03723,300,9000
A02654,300,9000
A03997,300,3590
A06273,300,11742
A07803,300,7238
A01900,300,9000
A01454,300,9000
A06310,300,14646
A03251,300,9000
A02862,300,18000
A03054,300,5926
A03685,300,14440
A06414,300,9000
A04780,300,9000
A06517,300,18000
A01928,300,9000
A04258,300,9000
A01192,300,6258
A00701,300,4692
A05524,300,9000
A07299,300,9000
A04675,300,4174
A00947,300,9000
A07345,300,9000
A06578,300,3916
A07107,300,9000
A03479,300,9000
A03089,300,10914
A05456,300,9000
A07350,300,9000
A07181,300,9000
A04771,300,9000
A05651,300,10338
A01840,300,9000
A07671,300,9000
A02320,300,18000
A00778,300,9000
A05869,300,9000
A06256,300,12748
A02144,300,9000
A02762,300,5258
A04659,300,9000
A01111,300,18000
A02132,300,3798
A06443,300,9000
A04587,300,9000
A03585,300,9000
A06794,300,18000
A07437,300,9000
A06688,300,9000
A01655,300,9000
A07337,300,9000
A04214,300,9000
A07255,300,9000
A07409,300,18000
A05699,300,14282
A03115,300,7108
A01712,300,9000
A03805,300,18000
A08199,300,9000
A05742,300,9882
A02261,300,9000
A02681,300,7764
A03490,300,9000
A03523,300,9000
A06410,300,18000
A06029,300,11676
A00654,300,9000
A05681,300,9694
A03698,300,9000
A05981,300,9000
A05092,300,9000
A06086,300,4678
A00822,300,9000
A03816,300,9000
A04958,300,9000
A08327,300,9000
A00607,300,9000
A08168,300,9000
A04131,300,9000
A08310,300,9000
A07937,300,9000
A05238,300,7594
A03260,300,9000
A01219,300,9000
A03557,300,9000
A06336,300,9000
A03550,300,9000
A03700,300,9000
A05096,300,9000
A03728,300,9000
A04748,300,9000
A00393,300,9000
A00877,300,9000
A02759,300,6582
A03927,300,18000
A04447,300,9000
A07375,300,9000
A05624,300,17764
A03641,300,16866
A03078,300,4142
A02221,300,9000
A01400,300,9000
A04019,300,18000
A00346,300,9000
A03209,300,9000
A05460,300,9000
A04364,300,9000
A07432,300,4036
A06354,300,9000
A06305,300,11354
A06802,300,9000
A06971,300,9000
A04758,300,9000
A03116,300,9000
A06977,300,9000
A00786,300,9000
A02275,300,9000
A03108,300,18000
A08100,300,9000
A02580,300,9000
A08155,300,4662
A06222,300,17258
A06046,300,9160
A08187,300,9000
A04585,300,9000
A07819,300,9000
A03690,300,9000
A02898,300,18000
A04782,300,9000
A05271,300,9000
A02329,300,9000
A04132,300,17938
A01450,300,9000
A04545,300,9000
A00599,300,9000
A02213,300,9000
A03367,300,4362
A08317,300,5974
A04930,300,9000
A08046,300,3016
A05029,300,9000
A07761,300,9000
A04858,300,9000
A04853,300,7258
A05989,300,9000
A04693,300,9000
A05617,300,16316
A05369,300,9000
A00932,300,18000
A03429,300,5868
A00987,300,9000
A01134,300,9000
A04862,300,9000
A01241,300,9000
A02298,300,9000
A04116,300,9000
A00357,300,6016
A03016,300,9000
A07161,300,9000
A05894,300,10948
A06100,300,9000
A00419,300,18000
A02254,300,9000
A02633,300,9000
A05801,300,9954
A00749,300,9000
A03959,300,9000
A06348,300,4376
A03817,300,9000
A06715,300,9000
A02352,300,9000
A07057,300,18000
A03445,300,9000
A01024,300,18000
A01381,300,3536
A03384,300,9000
A03418,300,9000
A04254,300,9000
A02388,300,18000
A02055,300,4100
A07679,300,17046
A02199,300,4040
A04188,300,9000
A05612,300,11936
A01512,300,9000
A05745,300,18166
A03938,300,9000
A05979,300,12340
A06294,300,9930
A06633,300,9000
A04594,300,9000
A01547,300,9000
A04879,300,4152
A07567,300,6316
A04953,300,9000
A05132,300,9000
A06358,300,9000
A07339,300,4194
A06479,300,9000
A04795,300,9000
A04561,300,9000
A03837,300,9000
A06397,300,9000
A05421,300,9000
A03331,300,9000
A03801,300,9000
A03198,300,9000
A01997,300,9000
A00307,300,8158
A01966,300,3314
A07405,300,9000
A03718,300,9000
A05025,300,18000
A00666,300,9000
A03624,300,9000
A02403,300,9000
A07060,300,4682
A08297,300,9000
A04235,300,9000
A02142,300,18000
A01600,300,9000
A06155,300,18038
A05296,300,9000
A03564,300,9000
A01076,300,3624
A01073,300,9000
A07670,300,9000
A08279,300,18000
A05009,300,9000
A02131,300,9000
A04944,300,15584
A07729,300,9000
A05511,300,9000
A02937,300,9000
A04775,300,18000
A01905,300,9000
